team,year,competitive,competitive.1,friendly,friendly.1,total,total.1
Team,Year,Apps,Goals,Apps,Goals,Apps,Goals
France[250][251],1994,1[a],0,1,2,2,2
France[250][251],1995,5[b],2,1,0,6,2
France[250][251],1996,5[c],0,7,1,12,1
France[250][251],1997,—,—,8,1,8,1
France[250][251],1998,8[d],2,7,3,15,5
France[250][251],1999,3[e],1,3,0,6,1
France[250][251],2000,5[f],2,8,2,13,4
France[250][251],2001,—,—,8,2,8,2
France[250][251],2002,4[g],0,5,1,9,1
France[250][251],2003,4[h],3,3,0,7,3
France[250][251],2004,4[i],3,3,1,7,4
France[250][251],2005,4[j],1,1,1,5,2
France[250][251],2006,6[k],3,4,0,10,3
